model,year,price,transmission,mileage,fuelType,mpg,finance_monthly,lease_monthly,horsepower
Corolla,2019,25570,Automatic,3196,Hybrid,72.4,467.05,405.5,180
Corolla,2019,19998,Automatic,1992,Hybrid,85.6,365.27,321.5,122
Corolla,2019,23990,Automatic,9500,Hybrid,78.5,438.19,381.68,122
Corolla,2019,19995,Automatic,12158,Hybrid,85.6,365.22,321.46,122
Corolla,2019,24995,Automatic,5500,Hybrid,72.4,456.55,396.83,180
Corolla,2019,24995,Automatic,1350,Hybrid,72.4,456.55,396.83,180
Corolla,2019,23440,Automatic,5000,Hybrid,78.5,428.14,373.39,122
Corolla,2019,21990,Automatic,9278,Hybrid,85.6,401.66,351.53,122
Corolla,2019,20990,Automatic,5000,Hybrid,85.6,383.39,336.46,122
Corolla,2019,19990,Automatic,10500,Hybrid,85.6,365.13,321.38,122
Corolla,2019,21995,Automatic,9100,Hybrid,58.9,401.75,351.6,122
Corolla,2019,22070,Automatic,9304,Hybrid,78.5,403.12,352.74,122
Corolla,2019,22490,Automatic,9500,Hybrid,85.6,410.79,359.07,122
Corolla,2019,15990,Manual,3500,Gasoline,39.2,292.07,261.08,116
Corolla,2019,21998,Automatic,9023,Hybrid,72.4,401.8,351.65,180
Corolla,2019,22075,Automatic,9684,Hybrid,85.6,403.21,352.81,122
Corolla,2020,28990,Automatic,2000,Hybrid,53.3,529.52,440.71,180
Corolla,2019,16995,Manual,6503,Gasoline,39.2,310.42,276.23,116
Corolla,2019,18498,Manual,5087,Gasoline,39.2,337.87,298.89,116
Corolla,2019,25995,Automatic,1751,Hybrid,72.4,474.81,411.9,180
Corolla,2019,24998,Automatic,6195,Hybrid,72.4,456.6,396.87,180
Corolla,2019,23500,Automatic,4720,Hybrid,78.5,429.24,374.29,122
Corolla,2019,21750,Automatic,2839,Hybrid,85.6,397.27,347.91,122
Corolla,2019,21000,Automatic,11408,Hybrid,85.6,383.58,336.61,122
Corolla,2019,23000,Automatic,6788,Hybrid,85.6,420.11,366.75,122
Corolla,2019,25000,Automatic,2430,Hybrid,78.5,456.64,396.9,122
Corolla,2019,23000,Automatic,3579,Hybrid,72.4,420.11,366.75,180
Corolla,2019,24000,Automatic,6415,Hybrid,72.4,438.37,381.83,180
Corolla,2019,22500,Automatic,9493,Hybrid,78.5,410.97,359.22,122
Corolla,2019,22790,Automatic,5830,Hybrid,72.4,416.27,363.59,180
Corolla,2019,22790,Automatic,9781,Hybrid,72.4,416.27,363.59,180
Corolla,2019,21490,Automatic,8950,Hybrid,72.4,392.53,343.99,180
Corolla,2019,17250,Manual,12000,Gasoline,39.2,315.08,280.08,116
Corolla,2019,15998,Manual,7016,Gasoline,39.2,292.21,261.2,116
Corolla,2019,20498,Automatic,13872,Hybrid,72.4,374.41,329.04,180
Corolla,2019,15990,Manual,2336,Gasoline,39.2,292.07,261.08,116
Corolla,2019,20488,Automatic,3892,Hybrid,58.9,374.22,328.89,122
Corolla,2019,20288,Manual,4886,Gasoline,39.2,370.57,325.87,116
Corolla,2019,17995,Manual,9770,Gasoline,39.2,328.69,291.31,116
Corolla,2019,16490,Manual,8599,Gasoline,39.2,301.2,268.62,116
Corolla,2019,15990,Manual,5346,Gasoline,39.2,292.07,261.08,116
Corolla,2019,18290,Manual,3250,Gasoline,39.2,334.08,295.75,116
Corolla,2019,19998,Manual,4290,Gasoline,39.2,365.27,321.5,116
Corolla,2019,23888,Automatic,3497,Hybrid,72.4,436.33,380.14,180
Corolla,2019,15990,Manual,6449,Gasoline,39.2,292.07,261.08,116
Corolla,2020,27495,Automatic,998,Hybrid,53.3,502.21,419.01,180
Corolla,2019,23448,Automatic,3988,Hybrid,72.4,428.29,373.51,180
Corolla,2019,22990,Automatic,5268,Hybrid,72.4,419.92,366.6,180
Corolla,2019,18295,Manual,1110,Gasoline,39.2,334.17,295.83,116
Corolla,2019,18995,Manual,1436,Gasoline,39.2,346.95,306.38,116
Corolla,2019,21490,Automatic,9296,Hybrid,58.9,392.53,343.99,122
Corolla,2019,22790,Automatic,8322,Hybrid,72.4,416.27,363.59,180
Corolla,2019,17490,Manual,9000,Gasoline,39.2,319.46,283.7,116
Corolla,2019,24388,Automatic,8000,Hybrid,72.4,445.46,387.68,180
Corolla,2020,25988,Automatic,10000,Hybrid,53.3,474.68,397.15,180
Corolla,2019,16490,Manual,8328,Gasoline,39.2,301.2,268.62,116
Corolla,2019,21790,Automatic,10836,Hybrid,78.5,398,348.51,122
Corolla,2019,16490,Manual,4890,Gasoline,39.2,301.2,268.62,116
Corolla,2019,24790,Automatic,5651,Hybrid,72.4,452.8,393.74,180
Corolla,2019,21490,Automatic,9735,Hybrid,78.5,392.53,343.99,122
Corolla,2019,18495,Manual,8514,Gasoline,39.2,337.82,298.84,116
Corolla,2019,18495,Manual,4774,Gasoline,39.2,337.82,298.84,116
Corolla,2019,24995,Automatic,7500,Hybrid,58.9,456.55,396.83,122
Corolla,2019,16995,Manual,3000,Gasoline,39.2,310.42,276.23,116
Corolla,2019,22790,Automatic,12501,Hybrid,72.4,416.27,363.59,180
Corolla,2020,25990,Automatic,6124,Hybrid,53.3,474.72,397.18,180
Corolla,2019,21490,Automatic,10124,Hybrid,85.6,392.53,343.99,122
Corolla,2019,21490,Automatic,9107,Hybrid,72.4,392.53,343.99,180
Corolla,2019,23698,Automatic,2535,Hybrid,72.4,432.86,377.28,180
Corolla,2020,22990,Automatic,2797,Hybrid,62.8,419.92,353.64,122
Corolla,2020,26490,Automatic,1879,Hybrid,53.3,483.85,404.43,180
Corolla,2020,25490,Automatic,1697,Hybrid,56.5,465.59,389.92,122
Corolla,2019,22990,Automatic,13410,Hybrid,72.4,419.92,366.6,180
Corolla,2019,19990,Manual,4332,Gasoline,39.2,365.13,321.38,116
Corolla,2019,20990,Manual,8503,Gasoline,39.2,383.39,336.46,116
Corolla,2019,17890,Manual,3695,Gasoline,39.2,326.77,289.73,116
Corolla,2019,18995,Manual,2579,Gasoline,39.2,346.95,306.38,116
Corolla,2019,17990,Manual,6057,Gasoline,39.2,328.6,291.23,116
Corolla,2019,18690,Manual,2907,Gasoline,39.2,341.38,301.78,116
Corolla,2019,16990,Manual,7134,Gasoline,39.2,310.33,276.16,116
Corolla,2019,16990,Manual,25,Gasoline,39.2,310.33,276.16,116
Corolla,2019,22727,Automatic,4451,Hybrid,72.4,415.12,362.64,180
Corolla,2019,20995,Automatic,5668,Hybrid,72.4,383.48,336.53,180
Corolla,2019,20995,Automatic,5250,Hybrid,85.6,383.48,336.53,122
Corolla,2019,22290,Automatic,4633,Hybrid,78.5,407.14,356.05,122
Corolla,2019,16490,Manual,9625,Gasoline,39.2,301.2,268.62,116
Corolla,2019,19790,Automatic,5804,Hybrid,85.6,361.47,318.37,122
Corolla,2019,15790,Manual,10000,Gasoline,39.2,288.41,258.07,116
Corolla,2019,17480,Manual,9999,Gasoline,39.2,319.28,283.54,116
Corolla,2020,24980,Automatic,5000,Hybrid,57.7,456.27,382.52,122
Corolla,2019,18990,Manual,3860,Gasoline,39.2,346.86,306.31,116
Corolla,2019,21495,Automatic,9004,Hybrid,85.6,392.62,344.07,122
Corolla,2019,17960,Manual,4500,Gasoline,39.2,328.05,290.78,116
Corolla,2019,17960,Manual,4500,Gasoline,39.2,328.05,290.78,116
Corolla,2019,23995,Automatic,5784,Hybrid,72.4,438.28,381.75,180
Corolla,2019,17995,Manual,6551,Gasoline,39.2,328.69,291.31,116
Corolla,2019,24795,Automatic,6770,Hybrid,72.4,452.89,393.81,180
Corolla,2019,18995,Manual,500,Gasoline,39.2,346.95,306.38,116
Corolla,2019,19995,Manual,500,Gasoline,39.2,365.22,321.46,116
Corolla,2019,22595,Automatic,10500,Hybrid,72.4,412.71,360.65,180
Corolla,2019,25595,Automatic,1215,Hybrid,78.5,467.51,405.87,122
Corolla,2019,23445,Automatic,5558,Hybrid,78.5,428.23,373.46,122
Corolla,2019,23395,Automatic,6125,Hybrid,78.5,427.32,372.71,122
Corolla,2019,23445,Automatic,2620,Hybrid,78.5,428.23,373.46,122
Corolla,2019,24998,Automatic,2474,Hybrid,72.4,456.6,396.87,180
Corolla,2019,23498,Automatic,6513,Hybrid,78.5,429.2,374.26,122
Corolla,2019,23995,Automatic,6989,Hybrid,72.4,438.28,381.75,180
Corolla,2019,22995,Automatic,11000,Hybrid,72.4,420.01,366.68,180
Corolla,2019,22995,Automatic,3754,Hybrid,78.5,420.01,366.68,122
Corolla,2020,28815,Automatic,987,Hybrid,53.3,526.32,438.17,180
Corolla,2019,19995,Automatic,11293,Hybrid,85.6,365.22,321.46,122
Corolla,2019,19995,Automatic,5674,Hybrid,85.6,365.22,321.46,122
Corolla,2019,23995,Automatic,9250,Hybrid,72.4,438.28,381.75,180
Corolla,2019,23495,Manual,5600,Gasoline,39.2,429.15,374.22,116
Corolla,2020,27995,Automatic,2500,Hybrid,53.3,511.34,426.27,180
Corolla,2019,21000,Automatic,11449,Hybrid,78.5,383.58,336.61,122
Corolla,2020,28000,Automatic,10,Hybrid,56.5,511.43,426.34,122
Corolla,2019,17999,Manual,3510,Gasoline,39.2,328.76,291.37,116
Corolla,2019,20497,Automatic,4412,Hybrid,78.5,374.39,329.02,122
Corolla,2019,23500,Automatic,10016,Hybrid,78.5,429.24,374.29,122
Corolla,2019,21665,Automatic,11051,Hybrid,85.6,395.72,346.63,122
Corolla,2019,21280,Manual,5102,Gasoline,39.2,388.69,340.83,116
Corolla,2019,24960,Automatic,2535,Hybrid,72.4,455.91,396.3,180
Corolla,2019,19540,Manual,8970,Gasoline,39.2,356.91,314.6,116
Corolla,2019,20110,Automatic,5922,Hybrid,85.6,367.32,323.19,122
Corolla,2019,23060,Automatic,15631,Hybrid,72.4,421.2,367.66,180
Corolla,2020,26991,Automatic,3636,Hybrid,53.3,493,411.7,180
Corolla,2019,22900,Automatic,5910,Hybrid,85.6,418.28,365.25,122
Corolla,2019,24025,Automatic,8812,Hybrid,78.5,438.83,382.21,122
Corolla,2019,26495,Automatic,1000,Hybrid,72.4,483.94,419.44,180
Corolla,2019,27795,Automatic,1000,Hybrid,72.4,507.69,439.04,180
Corolla,2019,22999,Automatic,4113,Hybrid,85.6,420.09,366.74,122
Corolla,2019,21999,Automatic,8171,Hybrid,78.5,401.82,351.67,122
Corolla,2019,19990,Manual,3422,Gasoline,39.2,365.13,321.38,116
Corolla,2019,19900,Manual,6522,Gasoline,39.2,363.48,320.02,116
Corolla,2019,22000,Automatic,11478,Hybrid,78.5,401.84,351.68,122
Corolla,2019,19290,Manual,10011,Gasoline,39.2,352.34,310.83,116
Corolla,2019,19995,Manual,7777,Gasoline,39.2,365.22,321.46,116
Corolla,2019,23888,Automatic,14417,Hybrid,72.4,436.33,380.14,180
Corolla,2019,22495,Automatic,2034,Hybrid,78.5,410.88,359.14,122
Corolla,2020,28495,Automatic,2141,Hybrid,56.5,520.48,433.52,122
Corolla,2019,25195,Automatic,3998,Hybrid,72.4,460.2,399.84,180
Corolla,2019,21495,Automatic,10420,Hybrid,85.6,392.62,344.07,122
Corolla,2019,21790,Automatic,10120,Hybrid,78.5,398,348.51,122
Corolla,2020,24995,Automatic,3989,Hybrid,57.7,456.55,382.74,122
Corolla,2020,22995,Automatic,636,Hybrid,62.8,420.01,353.72,122
Corolla,2019,26995,Automatic,3000,Hybrid,72.4,493.08,426.98,180
Corolla,2019,21995,Automatic,9333,Hybrid,78.5,401.75,351.6,122
Corolla,2019,17495,Manual,999,Gasoline,39.2,319.55,283.77,116
Corolla,2019,22050,Automatic,12000,Hybrid,72.4,402.75,352.43,180
Corolla,2020,28795,Automatic,1544,Hybrid,53.3,525.95,437.88,180
Corolla,2020,20692,Manual,7345,Gasoline,39.2,377.95,320.3,116
Corolla,2019,21495,Automatic,20657,Hybrid,85.6,392.62,344.07,122
Corolla,2019,22514,Automatic,8309,Hybrid,78.5,411.23,359.43,122
Corolla,2020,29450,Automatic,943,Hybrid,53.3,537.92,447.38,180
Corolla,2020,26950,Automatic,3168,Hybrid,53.3,492.25,411.11,180
Corolla,2020,24995,Automatic,2136,Hybrid,56.5,456.55,382.74,122
Corolla,2019,23000,Automatic,6158,Hybrid,72.4,420.11,366.75,180
Corolla,2019,20689,Automatic,7963,Hybrid,85.6,377.89,331.92,122
Corolla,2019,19219,Manual,384,Gasoline,39.2,351.04,309.76,116
Corolla,2019,21991,Automatic,5000,Hybrid,78.5,401.68,351.54,122
Corolla,2019,22980,Automatic,3459,Hybrid,72.4,419.74,366.45,180
Corolla,2019,15291,Manual,7317,Gasoline,39.2,279.3,250.55,116
Corolla,2019,22780,Automatic,9980,Hybrid,72.4,416.09,363.44,180
Corolla,2020,19495,Manual,4568,Gasoline,39.2,356.09,302.93,116
Corolla,2019,18991,Automatic,7000,Hybrid,85.6,346.88,306.32,122
Corolla,2019,19291,Automatic,13998,Hybrid,85.6,352.36,310.84,122
Corolla,2019,23505,Automatic,9264,Hybrid,78.5,429.33,374.37,122
Corolla,2019,17865,Manual,17197,Gasoline,39.2,326.31,289.35,116
Corolla,2019,20499,Automatic,4942,Hybrid,85.6,374.42,329.05,122
Corolla,2020,27893,Automatic,3390,Hybrid,72.4,509.48,424.79,180
Corolla,2019,22226,Automatic,9264,Hybrid,78.5,405.97,355.09,122
Corolla,2019,16821,Manual,6329,Gasoline,39.2,307.24,273.61,116
Corolla,2020,25998,Automatic,5000,Hybrid,53.3,474.87,397.29,180
Corolla,2003,1495,Manual,89000,Gasoline,39.2,27.31,42.58,132
Corolla,2019,20995,Automatic,6834,Hybrid,72.4,383.48,336.53,180
Corolla,2019,17989,Manual,151,Gasoline,39.2,328.58,291.22,116
Corolla,2019,26999,Automatic,6500,Hybrid,72.4,493.15,427.04,180
Corolla,2019,16495,Manual,5517,Gasoline,39.2,301.29,268.7,116
Corolla,2019,17995,Manual,3792,Gasoline,39.2,328.69,291.31,116
Corolla,2019,16495,Manual,5139,Gasoline,39.2,301.29,268.7,116
Corolla,2019,23995,Automatic,42,Hybrid,57.7,438.28,381.75,122
Corolla,2020,25995,Automatic,100,Hybrid,53.3,474.81,397.25,180
Corolla,2019,22250,Automatic,10932,Hybrid,78.5,406.41,355.45,122
Corolla,2019,19995,Automatic,14198,Hybrid,85.6,365.22,321.46,122
Corolla,2019,22485,Automatic,9111,Hybrid,78.5,410.7,358.99,122
Corolla,2019,20985,Automatic,5372,Hybrid,85.6,383.3,336.38,122
Corolla,2019,21999,Automatic,17095,Hybrid,72.4,401.82,351.67,180
Corolla,2019,17999,Manual,20,Gasoline,39.2,328.76,291.37,116
Corolla,2019,17499,Manual,20,Gasoline,39.2,319.63,283.83,116
Corolla,2019,16299,Manual,18020,Gasoline,39.2,297.71,265.74,116
Corolla,2019,21450,Automatic,9244,Hybrid,85.6,391.79,343.39,122
Corolla,2019,20499,Automatic,10436,Hybrid,78.5,374.42,329.05,122
Corolla,2019,16491,Manual,15,Gasoline,39.2,301.22,268.64,116
Corolla,2019,21450,Automatic,7899,Hybrid,85.6,391.79,343.39,122
Corolla,2019,21450,Automatic,8908,Hybrid,78.5,391.79,343.39,122
Corolla,2019,21995,Automatic,4800,Hybrid,85.6,401.75,351.6,122
Corolla,2019,22691,Automatic,3698,Hybrid,72.4,414.46,362.1,180
Corolla,2019,15991,Manual,10,Gasoline,39.2,292.08,261.1,116
Corolla,2019,15991,Manual,10,Gasoline,39.2,292.08,261.1,116
Corolla,2019,23490,Automatic,8239,Hybrid,78.5,429.06,374.14,122
Corolla,2019,25495,Automatic,9317,Hybrid,85.6,465.68,404.36,122
Corolla,2001,899,Automatic,76000,Gasoline,35.3,16.42,33.6,132
Corolla,2019,17790,Manual,15,Gasoline,39.2,324.94,288.22,116
Corolla,2019,17990,Manual,10,Gasoline,39.2,328.6,291.23,116
Corolla,2019,16990,Manual,10,Gasoline,39.2,310.33,276.16,116
Corolla,2019,19795,Automatic,7841,Hybrid,78.5,361.57,318.44,122
Corolla,2019,23395,Automatic,10513,Hybrid,85.6,427.32,372.71,122
Corolla,2019,18700,Manual,6597,Gasoline,39.2,341.56,301.94,116
Corolla,2019,22700,Automatic,6289,Hybrid,78.5,414.63,362.23,122
Corolla,2019,16790,Manual,97,Gasoline,39.2,306.68,273.14,116
Corolla,2019,23700,Automatic,3628,Hybrid,72.4,432.89,377.31,180
Corolla,2020,26700,Automatic,3675,Hybrid,53.3,487.69,407.48,180
Corolla,2019,23650,Automatic,8087,Hybrid,72.4,431.98,376.55,180
Corolla,2019,21990,Automatic,12000,Hybrid,78.5,401.66,351.53,122
Corolla,2020,19790,Manual,3000,Gasoline,39.2,361.47,307.21,116
Corolla,2019,20450,Automatic,8000,Hybrid,85.6,373.53,328.32,122
Corolla,2019,16200,Manual,3837,Gasoline,39.2,295.9,264.25,116
Corolla,2019,21491,Automatic,3993,Hybrid,85.6,392.54,344.01,122
Corolla,2019,21850,Automatic,9300,Hybrid,58.9,399.1,349.42,122
Corolla,2020,23550,Automatic,3000,Hybrid,58.9,430.15,361.77,122
Corolla,2019,21991,Automatic,13000,Hybrid,78.5,401.68,351.54,122
Corolla,2019,22850,Automatic,9000,Hybrid,78.5,417.37,364.49,122
Corolla,2019,19990,Automatic,9968,Hybrid,85.6,365.13,321.38,122
Corolla,2019,19990,Automatic,10175,Hybrid,85.6,365.13,321.38,122
Corolla,2019,25650,Automatic,4000,Hybrid,72.4,468.51,406.7,180
Corolla,2019,21350,Automatic,15481,Hybrid,78.5,389.97,341.88,122
Corolla,2019,22990,Automatic,7000,Hybrid,78.5,419.92,366.6,122
Corolla,2019,22990,Automatic,6000,Hybrid,78.5,419.92,366.6,122
Corolla,2019,23650,Automatic,7000,Hybrid,85.6,431.98,376.55,122
Corolla,2019,21990,Automatic,10055,Hybrid,78.5,401.66,351.53,122
Corolla,2020,18990,Manual,3000,Gasoline,39.2,346.86,295.6,116
Corolla,2019,21500,Automatic,6610,Hybrid,85.6,392.71,344.14,122
Corolla,2019,21690,Automatic,9823,Hybrid,78.5,396.18,347.01,122
Corolla,2019,22750,Automatic,9000,Hybrid,72.4,415.54,362.99,180
Corolla,2019,22250,Automatic,8563,Hybrid,78.5,406.41,355.45,122
Corolla,2019,24495,Automatic,2165,Hybrid,72.4,447.41,389.29,180
Corolla,2019,24295,Automatic,6568,Hybrid,72.4,443.76,386.28,180
Corolla,2019,22000,Automatic,7575,Hybrid,78.5,401.84,351.68,122
Corolla,2019,16500,Manual,6170,Gasoline,39.2,301.38,268.77,116
Corolla,2019,23500,Automatic,6033,Hybrid,78.5,429.24,374.29,122
Corolla,2005,3495,Manual,77500,Gasoline,40.4,63.84,72.73,132
Corolla,2019,23250,Automatic,3568,Hybrid,72.4,424.67,370.52,180
Corolla,2019,21494,Automatic,7792,Hybrid,78.5,392.6,344.05,122
Corolla,2019,21249,Automatic,10353,Hybrid,85.6,388.12,340.36,122
Corolla,2019,21250,Automatic,7125,Hybrid,85.6,388.14,340.37,122
Corolla,2019,21995,Automatic,8661,Hybrid,78.5,401.75,351.6,122
Corolla,2019,22995,Automatic,4319,Hybrid,85.6,420.01,366.68,122
RAV4,2017,16500,Manual,25271,Diesel,60.1,301.38,268.77,150
RAV4,2016,15995,Manual,11291,Diesel,60.1,292.16,261.16,150
RAV4,2015,13500,Manual,45757,Diesel,57.6,246.58,223.55,150
RAV4,2015,13698,Automatic,43830,Diesel,42.2,250.2,226.53,177
RAV4,2016,14998,Manual,40054,Diesel,60.1,273.95,246.13,150
RAV4,2013,10998,Automatic,45322,Diesel,42.2,200.88,185.83,177
RAV4,2016,13498,Manual,32061,Diesel,60.1,246.55,223.52,150
RAV4,2017,17500,Automatic,26528,Gasoline,43.5,319.65,283.85,150
RAV4,2017,16498,Automatic,37539,Gasoline,43.5,301.34,268.74,150
RAV4,2014,9698,Manual,80049,Diesel,53,177.14,166.24,150
RAV4,2016,14817,Manual,35286,Diesel,60.1,270.64,243.4,150
RAV4,2019,29399,Automatic,9650,Hybrid,51.1,536.99,463.21,219
RAV4,2019,32995,Automatic,7017,Hybrid,49.6,602.67,517.42,219
RAV4,2019,29995,Automatic,20124,Hybrid,51.1,547.87,472.2,219
RAV4,2015,11995,Manual,49150,Diesel,57.6,219.09,200.86,150
RAV4,2016,13995,Manual,71046,Diesel,60.1,255.63,231.01,150
RAV4,2014,12995,Manual,69401,Diesel,57.6,237.36,215.94,150
RAV4,2016,14495,Manual,49097,Diesel,60.1,264.76,238.55,150
RAV4,2016,14695,Manual,39591,Diesel,60.1,268.41,241.56,150
RAV4,2019,29498,Automatic,9727,Hybrid,49.6,538.8,464.71,219
RAV4,2019,31498,Automatic,9258,Hybrid,49.6,575.33,494.86,219
RAV4,2014,11498,Automatic,47545,Diesel,42.2,210.02,193.37,177
RAV4,2014,10998,Manual,50709,Diesel,53,200.88,185.83,150
RAV4,2017,20498,Automatic,10957,Gasoline,43.5,374.41,329.04,150
RAV4,2013,10498,Manual,54057,Diesel,49.6,191.75,178.3,177
RAV4,2015,9998,Manual,60998,Diesel,57.6,182.62,170.76,150
RAV4,2015,12998,Manual,41486,Diesel,53,237.41,215.98,150
RAV4,2017,13998,Manual,48713,Diesel,60.1,255.68,231.06,150
RAV4,2017,14698,Manual,50039,Diesel,60.1,268.47,241.61,150
RAV4,2019,28998,Automatic,10910,Hybrid,51.1,529.66,457.17,219
RAV4,2018,19698,Automatic,21893,Gasoline,43.5,359.79,316.98,150
RAV4,2015,15298,Semi-Auto,21232,Gasoline,39.2,279.43,250.65,150
